Epoch 0, RMSE 0.992524274832
Epoch 1, RMSE 0.993918251922
Epoch 2, RMSE 0.995193179455
Epoch 3, RMSE 0.996013217018
Epoch 4, RMSE 0.996995895522
Epoch 5, RMSE 0.997799056657
Epoch 6, RMSE 0.998477923853
Epoch 7, RMSE 0.999936495081
Epoch 8, RMSE 1.00152710677
Epoch 9, RMSE 1.00260682501
Epoch 10, RMSE 1.00361097844
Epoch 11, RMSE 1.00421140461
